	id	name	period	title	description	value	extract_date	period_extraction	year	day	id_tb_midias
138	18091892248364995	taps_back	lifetime	Toques para voltar	Número total de toques para ver a foto ou o vídeo anterior deste story	0	2024-05-20	05	2024	20	1809189224836499520240520taps_backlifetime
139	18091892248364995	exits	lifetime	Saídas	Número de vezes que alguém saiu do story	0	2024-05-20	05	2024	20	1809189224836499520240520exitslifetime
140	18091892248364995	replies	lifetime	Respostas	Número total de respostas ao story	0	2024-05-20	05	2024	20	1809189224836499520240520replieslifetime
141	18091892248364995	engagement	lifetime	Engajamento	Número total de curtidas, comentários e salvamentos no objeto de mídia	5	2024-05-20	05	2024	20	1809189224836499520240520engagementlifetime
142	18091892248364995	video_views	lifetime	Visualizações de vídeo	Número total de vezes que o vídeo foi visto	0	2024-05-20	05	2024	20	1809189224836499520240520video_viewslifetime
143	18091892248364995	impressions	lifetime	Impressões	O número de vezes que a sua publicação foi exibida na tela.	45	2024-05-20	05	2024	20	1809189224836499520240520impressionslifetime
144	18091892248364995	reach	lifetime	Contas alcançadas	O número de contas únicas que viram esta publicação pelo menos uma vez. O alcance é diferente das impressões, que podem incluir várias visualizações da sua publicação pelas mesmas contas. Essa métrica é estimada.	42	2024-05-20	05	2024	20	1809189224836499520240520reachlifetime
145	18091892248364995	saved	lifetime	Salvo	O número de vezes que sua publicação foi salva.	0	2024-05-20	05	2024	20	1809189224836499520240520savedlifetime
146	17950801427740207	impressions	lifetime	Impressões	Número total de vezes que o objeto de mídia foi visto	74	2024-05-20	05	2024	20	1795080142774020720240520impressionslifetime
147	17950801427740207	reach	lifetime	Alcance	Número total de contas únicas que viram o objeto de mídia	64	2024-05-20	05	2024	20	1795080142774020720240520reachlifetime
148	17950801427740207	taps_forward	lifetime	Toques para avançar	Número total de toques para ver a foto ou vídeo seguinte deste story	0	2024-05-20	05	2024	20	1795080142774020720240520taps_forwardlifetime
149	17950801427740207	taps_back	lifetime	Toques para voltar	Número total de toques para ver a foto ou o vídeo anterior deste story	0	2024-05-20	05	2024	20	1795080142774020720240520taps_backlifetime
150	17950801427740207	exits	lifetime	Saídas	Número de vezes que alguém saiu do story	0	2024-05-20	05	2024	20	1795080142774020720240520exitslifetime
151	17950801427740207	replies	lifetime	Respostas	Número total de respostas ao story	0	2024-05-20	05	2024	20	1795080142774020720240520replieslifetime
152	17950801427740207	engagement	lifetime	Engajamento	Número total de curtidas, comentários e salvamentos no objeto de mídia	11	2024-05-20	05	2024	20	1795080142774020720240520engagementlifetime
153	17950801427740207	saved	lifetime	Salvos	Número total de contas únicas que salvaram o objeto de mídia	0	2024-05-20	05	2024	20	1795080142774020720240520savedlifetime
154	17950801427740207	video_views	lifetime	Visualizações de vídeo	Número total de vezes que o vídeo foi visto	0	2024-05-20	05	2024	20	1795080142774020720240520video_viewslifetime
