	id	id_midia	id_insight	extract_date	period_extraction	year	day	definicao	value
265	17983677587408251202024525	17983677587408251	20	2024-05-25	5	2024	25	video_views	0
266	17983677587408251102024525	17983677587408251	10	2024-05-25	5	2024	25	impressions	118
267	17983677587408251142024525	17983677587408251	14	2024-05-25	5	2024	25	reach	102
268	17983677587408251162024525	17983677587408251	16	2024-05-25	5	2024	25	saved	0
269	18276264910162723182024525	18276264910162723	18	2024-05-25	5	2024	25	taps_forward	0
270	18276264910162723172024525	18276264910162723	17	2024-05-25	5	2024	25	taps_back	0
271	1827626491016272372024525	18276264910162723	7	2024-05-25	5	2024	25	exits	0
272	18276264910162723152024525	18276264910162723	15	2024-05-25	5	2024	25	replies	0
273	1827626491016272362024525	18276264910162723	6	2024-05-25	5	2024	25	engagement	21
274	18276264910162723202024525	18276264910162723	20	2024-05-25	5	2024	25	video_views	0
275	18276264910162723102024525	18276264910162723	10	2024-05-25	5	2024	25	impressions	125
276	18276264910162723142024525	18276264910162723	14	2024-05-25	5	2024	25	reach	109
277	18276264910162723162024525	18276264910162723	16	2024-05-25	5	2024	25	saved	0
278	18149116891307761182024525	18149116891307761	18	2024-05-25	5	2024	25	taps_forward	0
279	18149116891307761172024525	18149116891307761	17	2024-05-25	5	2024	25	taps_back	0
280	1814911689130776172024525	18149116891307761	7	2024-05-25	5	2024	25	exits	0
281	18149116891307761152024525	18149116891307761	15	2024-05-25	5	2024	25	replies	0
282	1814911689130776162024525	18149116891307761	6	2024-05-25	5	2024	25	engagement	9
283	18149116891307761202024525	18149116891307761	20	2024-05-25	5	2024	25	video_views	0
284	18149116891307761102024525	18149116891307761	10	2024-05-25	5	2024	25	impressions	91
285	18149116891307761142024525	18149116891307761	14	2024-05-25	5	2024	25	reach	82
286	18149116891307761162024525	18149116891307761	16	2024-05-25	5	2024	25	saved	0
287	18005078747253576182024525	18005078747253576	18	2024-05-25	5	2024	25	taps_forward	0
288	18005078747253576172024525	18005078747253576	17	2024-05-25	5	2024	25	taps_back	0
289	1800507874725357672024525	18005078747253576	7	2024-05-25	5	2024	25	exits	0
290	18005078747253576152024525	18005078747253576	15	2024-05-25	5	2024	25	replies	0
291	1800507874725357662024525	18005078747253576	6	2024-05-25	5	2024	25	engagement	17
292	18005078747253576202024525	18005078747253576	20	2024-05-25	5	2024	25	video_views	0
293	18005078747253576102024525	18005078747253576	10	2024-05-25	5	2024	25	impressions	85
294	18005078747253576142024525	18005078747253576	14	2024-05-25	5	2024	25	reach	66
295	18005078747253576162024525	18005078747253576	16	2024-05-25	5	2024	25	saved	1
296	17996237798221062182024525	17996237798221062	18	2024-05-25	5	2024	25	taps_forward	0
